SampleID	Lenght
CVM631	1661
CVM411	1678
CVM372	1715
CVM440	1726
CVM382	1733
CVM081	1739
CVM647.R	1781
CVM083	1794
CVM782.R	1805
CVM812	1817
CVM051	1843
CVM755	1886
CVM761	1923
CVM388	1971
CVM332.R	1980
CVM378	1980
CVM399	2000
L.jensenni.P4	2073
CVM124	2100
CVM245.R	2205
CVM051.R	2217
CVM677	2219
CVM686	2371
CVM520	2454
CVM716	2520
L.jensenni.P10	2521
L.crispatus.P4	2540
CVM647	2571
CVM080	2575
CVM616	2682
CVM346	2687
CVM816	2732
CVM153	2748
CVM238	2764
CVM791	2839
CVM440.R	2902
CVM615	2903
CVM684	2953
L.jensenni.P9	2971
CVM632	3044
CVM616.R	3061
CVM492	3075
CVM050	3158
CVM247	3228
CVM146.R	3250
CVM381	3302
CVM747	3308
CVM751	3378
CVM222	3415
CVM844	3651
CVM071	3657
CVM090	3659
CVM706	3723
CVM518	3798
CVM340	3814
CVM471	3824
CVM869	3860
CVM146	3904
CVM595	3918
Rep.I.P3	3946
CVM166	3997
CVM144	4000
CVM068	4023
CVM815	4116
CVM169	4132
CVM613	4180
CVM817	4198
CVM111	4207
CVM837	4237
CVM504	4239
CVM832	4239
CVM636	4307
L.gasseri.P10	4327
L.gasseri.P9	4348
CVM539	4382
CVM678	4430
CVM452	4628
CVM709	4725
